"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"this was";"это было";;;"For me <b>this was</b> — and still kind of is — a scary project.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhpcyB3YXM=ae511708.mp3]";"For me {{c1::this was}} — and still kind of is — a scary project.";;"Слова из интернета"
"both of which";"оба из которых";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2835906.png'>";;"We started with the Salesforce1 Mobile App, and its underlying Lightning framework, <b>both of which</b> gave us the foundation to re-imagine our desktop experience.";"[sound:https://audiocdn.lingualeo.com/v2/1/Ym90aCBvZiB3aGljaA==198eb622.mp3]";"We started with the Salesforce1 Mobile App, and its underlying Lightning framework, {{c1::both of which}} gave us the foundation to re-imagine our desktop experience.";;"Слова из интернета"
"honest with yourself";"честным с самим собой";;;"Something that when you are being <b>honest with yourself</b> makes you scared.";"[sound:https://audiocdn.lingualeo.com/v2/1/aG9uZXN0IHdpdGggeW91cnNlbGY=f5541cd4.mp3]";"Something that when you are being {{c1::honest with yourself}} makes you scared.";;"Слова из интернета"
"every once in a while";"время от времени";"<img src='https://contentcdn.lingualeo.com/uploads/picture/233659.png'>";;"<b>Every once in a while</b> you get an opportunity to work on something that changes the game.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXZlcnkgb25jZSBpbiBhIHdoaWxl624ae0f1.mp3]";"{{c1::Every once in a while}} you get an opportunity to work on something that changes the game.";;"Слова из интернета"
"to work on something";"работать над чем-либо";;;"Every once in a while you get an opportunity <b>to work on something</b> that changes the game.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gd29yayBvbiBzb21ldGhpbmc=e5ab1569.mp3]";"Every once in a while you get an opportunity {{c1::to work on something}} that changes the game.";;"Слова из интернета"
"loose";"Свободный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2521220.png'>";"lus";"- you would also <b>loose</b> all stack traces";"[sound:https://audiocdn.lingualeo.com/v2/1/bG9vc2U=5d1fffc5.mp3]";"- you would also {{c1::loose}} all stack traces";;"Слова из интернета"
"rescue";"спасать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3245553.png'>";"ˈrɛskju";"This allows the user to <b>rescue</b> a generic exception type to catch all exceptions the library may raise even if future versions of the library add new exception subclasses.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVzY3Vldd2d3f5b.mp3]";"This allows the user to {{c1::rescue}} a generic exception type to catch all exceptions the library may raise even if future versions of the library add new exception subclasses.";;"Слова из интернета"
"descendants";"потомки";"<img src='https://contentcdn.lingualeo.com/uploads/picture/502430.png'>";"dɪsˈendənts";"<b>Descendants</b> of class Exception are used to communicate between Kernel#raise and rescue statements in begin ... end blocks.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVzY2VuZGFudHM=9e6c5cbe.mp3]";"{{c1::Descendants}} of class Exception are used to communicate between Kernel#raise and rescue statements in begin ... end blocks.";;"Слова из интернета"
"guessed";"угадал";;"gˈest";"As you probably have <b>guessed</b> by now, I am a big fan of the ovftool and have written several articles here, here and here.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z3Vlc3NlZA==725b6ef7.mp3]";"As you probably have {{c1::guessed}} by now, I am a big fan of the ovftool and have written several articles here, here and here.";;"Слова из интернета"
"accordingly";"соответственно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/207407.png'>";"əˈkɔrdɪŋli";"<b>Accordingly</b>, it's time to refactor the existing code.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjb3JkaW5nbHk=449520f6.mp3]";"{{c1::Accordingly}}, it's time to refactor the existing code.";;"Слова из интернета"
"alleviate";"облегчать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1804424.png'>";"əˈliːvɪeɪt";"To <b>alleviate</b> this let's create a module that uses rescue_from, catches any custom NotFounds and renders the default 404 page.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWxsZXZpYXRl0454959f.mp3]";"To {{c1::alleviate}} this let's create a module that uses rescue_from, catches any custom NotFounds and renders the default 404 page.";;"Слова из интернета"
"sprinkling";"небольшое количество (чего-л.)";;"sprˈɪŋklɪŋ";"Firstly, let's delete our existing StandardError subclasses, and create the equivalent classes using a <b>sprinkling</b> of metaprogramming.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3ByaW5rbGluZw==fd44d5d7.mp3]";"Firstly, let's delete our existing StandardError subclasses, and create the equivalent classes using a {{c1::sprinkling}} of metaprogramming.";;"Слова из интернета"
"open heart";"открытое сердце";;;"Multi staging is is quite the opposite of <b>open heart</b> surgery — it's an advanced strategy to run the same application in separate similar environments.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3BlbiBoZWFydA==bc1805d0.mp3]";"Multi staging is is quite the opposite of {{c1::open heart}} surgery — it's an advanced strategy to run the same application in separate similar environments.";;"Слова из интернета"
"open heart surgery";"операция на открытом сердце";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2688405.png'>";;"Multi staging is is quite the opposite of <b>open heart surgery</b> — it's an advanced strategy to run the same application in separate similar environments.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3BlbiBoZWFydCBzdXJnZXJ5a61746a7.mp3]";"Multi staging is is quite the opposite of {{c1::open heart surgery}} — it's an advanced strategy to run the same application in separate similar environments.";;"Слова из интернета"
"costly";"дорогой";"<img src='https://contentcdn.lingualeo.com/uploads/picture/49332.png'>";"kˈɒstli";"It was still a <b>costly</b> exercise, Jarvik.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29zdGx5e2726352.mp3]";"It was still a {{c1::costly}} exercise, Jarvik.";;"Мой словарь"
"patiently";"терпеливо";"<img src='https://contentcdn.lingualeo.com/uploads/picture/235084.png'>";"pˈeɪːʃəntli";"I'm waiting <b>patiently</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/cGF0aWVudGx520c1cf0e.mp3]";"I'm waiting {{c1::patiently}}";;"Мой словарь"
"slip-up";"промах";"<img src='https://contentcdn.lingualeo.com/uploads/picture/531946.png'>";;"This routing issue is a big <b>slip-up</b> in Backbone and they're still doing it, the JavaScript spec says nothing about object keys enumerating in source order or any other particular order other than that it will be the same in various places.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2xpcC11cA==159a7300.mp3]";"This routing issue is a big {{c1::slip-up}} in Backbone and they're still doing it, the JavaScript spec says nothing about object keys enumerating in source order or any other particular order other than that it will be the same in various places.";;"Слова из интернета"
"bounty";"награда";;"bˈaʊːnti";"After putting up the <b>bounty</b>, I found a solution myself.";"[sound:https://audiocdn.lingualeo.com/v2/1/Ym91bnR56418407a.mp3]";"After putting up the {{c1::bounty}}, I found a solution myself.";;"Слова из интернета"
"wonky";"ненадёжный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/519680.png'>";"wˈɒŋki";"Cool but <b>wonky</b>?";"[sound:https://audiocdn.lingualeo.com/v2/1/d29ua3k=a3255025.mp3]";"Cool but {{c1::wonky}}?";;"Слова из интернета"
"throwing aside";"отбросив в сторону";;;"From a very basic standpoint, <b>throwing aside</b> the specific example that you've provided, here is how I would approach the problem and solution.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhyb3dpbmcgYXNpZGU=e29c4835.mp3]";"From a very basic standpoint, {{c1::throwing aside}} the specific example that you've provided, here is how I would approach the problem and solution.";;"Слова из интернета"
"needed in order";"нужен для того,";;;"This is <b>needed in order</b> to prevent a race condition between loading the data and rendering the view.";"[sound:https://audiocdn.lingualeo.com/v2/1/bmVlZGVkIGluIG9yZGVy0ae99cee.mp3]";"This is {{c1::needed in order}} to prevent a race condition between loading the data and rendering the view.";;"Слова из интернета"
"bog";"болото";"<img src='https://contentcdn.lingualeo.com/uploads/picture/200929.png'>";"bˈɒg";"They should also usually execute in a reasonably short amount of time so that they don’t <b>bog</b> down your server(s).";"[sound:https://audiocdn.lingualeo.com/v2/1/Ym9n68c6331f.mp3]";"They should also usually execute in a reasonably short amount of time so that they don’t {{c1::bog}} down your server(s).";;"Слова из интернета"
"brute";"грубый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/56837.png'>";"brˈuːt";"However, this was a <b>brute</b> approach: /bin/bash -l -c tells bash to behave as a login, interactive process.";"[sound:https://audiocdn.lingualeo.com/v2/1/YnJ1dGU=bfdfe7a8.mp3]";"However, this was a {{c1::brute}} approach: /bin/bash -l -c tells bash to behave as a login, interactive process.";;"Слова из интернета"
"bog down";"увязнуть";;"bˈɒg dˈaʊːn";"They should also usually execute in a reasonably short amount of time so that they don’t <b>bog down</b> your server(s).";"[sound:https://audiocdn.lingualeo.com/v2/1/Ym9nIGRvd24=064a71c4.mp3]";"They should also usually execute in a reasonably short amount of time so that they don’t {{c1::bog down}} your server(s).";;"Слова из интернета"
"much about";"многое о";;;"I don't know <b>much about</b> ActiveJob so you may need someone else to chime in at this point. –  John May 4 at 1:30";"[sound:https://audiocdn.lingualeo.com/v2/1/bXVjaCBhYm91dA==c72df599.mp3]";"I don't know {{c1::much about}} ActiveJob so you may need someone else to chime in at this point. –  John May 4 at 1:30";;"Слова из интернета"
"participation";"участие";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1273936.png'>";"pɑrˌtɪsəˈpeɪʃən";"Shares the same variations on endpoint as the <b>participation</b> data.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGFydGljaXBhdGlvbg==db45b467.mp3]";"Shares the same variations on endpoint as the {{c1::participation}} data.";;"Слова из интернета"
"whet";"разжигать";;"wˈet";"I need to insert 2.000.000 rows of data into Mongodb, row by row but <b>whet</b> it reaching 200.000 inserts it gets very slow, I am using Mongoid and I do not know if I can use bulk insert us I need data validation before insert.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hldA==946b4674.mp3]";"I need to insert 2.000.000 rows of data into Mongodb, row by row but {{c1::whet}} it reaching 200.000 inserts it gets very slow, I am using Mongoid and I do not know if I can use bulk insert us I need data validation before insert.";;"Слова из интернета"
"acceptable";"Допустимый";;"ækˈsɛptəbəl";"If an <b>acceptable</b> format is not identified, the application returns a ‘406 - not <b>acceptable</b>’ status.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjZXB0YWJsZQ==fb9fcffa.mp3]";"If an {{c1::acceptable}} format is not identified, the application returns a ‘406 - not {{c1::acceptable}}’ status.";;"Слова из интернета"
"disagree";"не соглашаться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3359111.png'>";"dɪsəˈgri";"Meanwhile, I would have to <b>disagree</b> with @severin's response.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzYWdyZWU=acd4b130.mp3]";"Meanwhile, I would have to {{c1::disagree}} with @severin's response.";;"Слова из интернета"
"measure";"мера. измерять";"<img src='https://contentcdn.lingualeo.com/uploads/picture/277925.png'>";"ˈmɛʒər";"respect to some task T and some performance <b>measure</b> P if its";"[sound:https://audiocdn.lingualeo.com/v2/1/bWVhc3VyZQ==7e33b2e7.mp3]";"respect to some task T and some performance {{c1::measure}} P if its";;"Слова из интернета"
"unfruitful";"бесплодный";;"ʌnfrˈuːtfl";"Initial attempts to set it up were <b>unfruitful</b>, taking time away from the task at hand.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5mcnVpdGZ1bA==823c6df5.mp3]";"Initial attempts to set it up were {{c1::unfruitful}}, taking time away from the task at hand.";;"Слова из интернета"
"object to";"возражать";;"ˈɑːbdʒekt tˈuː";"However, I have to say that on this one I actually <b>object to</b> the premise of the question.";"[sound:https://audiocdn.lingualeo.com/v2/1/b2JqZWN0IHRvcedd47a8.mp3]";"However, I have to say that on this one I actually {{c1::object to}} the premise of the question.";;"Слова из интернета"
"what matters";"что важно";;;"<b>What matters</b> more than anything is decoupling clients from implementations.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hhdCBtYXR0ZXJz324978a0.mp3]";"{{c1::What matters}} more than anything is decoupling clients from implementations.";;"Слова из интернета"
"To say otherwise";"сказать иначе";;;"<b>To say otherwise</b> would be like saying any method with an if statement is ""incorrect"" because it does two things.";"[sound:https://audiocdn.lingualeo.com/v2/1/VG8gc2F5IG90aGVyd2lzZQ==04b2b112.mp3]";"{{c1::To say otherwise}} would be like saying any method with an if statement is ""incorrect"" because it does two things.";;"Слова из интернета"
"a dumb store";"тупой магазин";;;"Server is essentially <b>a dumb store</b> (no logic in controllers)";"[sound:https://audiocdn.lingualeo.com/v2/1/YSBkdW1iIHN0b3Jl5cdfab6a.mp3]";"Server is essentially {{c1::a dumb store}} (no logic in controllers)";;"Слова из интернета"
"to appear in";"появится в";;;":version can be a single version for this field <b>to appear in</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYXBwZWFyIGlu4d87c3a9.mp3]";":version can be a single version for this field {{c1::to appear in}}";;"Слова из интернета"
"toss";"Кидать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/20337.png'>";"tˈɒs";"<b>Toss</b> this bad boy into spec/support/profile.rb and tag any example with :profile => true and it'll spit out callgrind dumps for your consumption in KCachegrind or similar.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG9zcw==492f12d9.mp3]";"{{c1::Toss}} this bad boy into spec/support/profile.rb and tag any example with :profile => true and it'll spit out callgrind dumps for your consumption in KCachegrind or similar.";;"Слова из интернета"
"endures";"выдержать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/33305.png'>";"ɪndjˈʊəːz";"As it <b>endures</b> the introduction of feature after feature, entropy takes hold.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZW5kdXJlcw==4025c631.mp3]";"As it {{c1::endures}} the introduction of feature after feature, entropy takes hold.";;"Слова из интернета"
"emerges";"Возникает";;"ɪmˈɜːdʒɪz";"A new requirement <b>emerges</b>: users must have an associated address.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZW1lcmdlcw==c1a237ea.mp3]";"A new requirement {{c1::emerges}}: users must have an associated address.";;"Слова из интернета"
"applaud";"аплодировать";;"əplˈɔːd";"Let me first say I <b>applaud</b> the effort of this question.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXBwbGF1ZA==936c90ed.mp3]";"Let me first say I {{c1::applaud}} the effort of this question.";;"Слова из интернета"
"whatever you do";"что бы ты ни делал";"<img src='https://contentcdn.lingualeo.com/uploads/picture/686585.png'>";;"But <b>whatever you do</b>, you're not going to achieve it if you're not staying active.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hhdGV2ZXIgeW91IGRvc9dc666c.mp3]";"But {{c1::whatever you do}}, you're not going to achieve it if you're not staying active.";;"Слова из интернета"
"behave";"вести себя";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1565013.png'>";"bɪˈheɪv";"RVM doesn't <b>behave</b> well if apt-get update has errors.";"[sound:https://audiocdn.lingualeo.com/v2/1/YmVoYXZle4a5f26f.mp3]";"RVM doesn't {{c1::behave}} well if apt-get update has errors.";;"Слова из интернета,Словарь для среднего уровня (intermediate)"
"span";"охватывать";;"spæn";"Support holidays that <b>span</b> two calendar years (none <b>span</b> three).";"[sound:https://audiocdn.lingualeo.com/v2/1/c3Bhbg==39d7af1c.mp3]";"Support holidays that {{c1::span}} two calendar years (none {{c1::span}} three).";;"Слова из интернета"
"dozens";"десятки";;"ˈdʌzənz";"The epic above could be split into <b>dozens</b> (or possibly hundreds), including these two:";"[sound:https://audiocdn.lingualeo.com/v2/1/ZG96ZW5zed611fde.mp3]";"The epic above could be split into {{c1::dozens}} (or possibly hundreds), including these two:";;"Слова из интернета"
"holiday season";"курортный сезон";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2147961.png'>";;"As a vice president of marketing, I want to select a <b>holiday season</b> to be used when reviewing the performance of past advertising campaigns so that I can identify profitable ones.";"[sound:https://audiocdn.lingualeo.com/v2/1/aG9saWRheSBzZWFzb24=8cd7f75f.mp3]";"As a vice president of marketing, I want to select a {{c1::holiday season}} to be used when reviewing the performance of past advertising campaigns so that I can identify profitable ones.";;"Слова из интернета"
"conditions of satisfaction";"условия удовлетворенности";;;"By adding “<b>conditions of satisfaction</b>.”";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29uZGl0aW9ucyBvZiBzYXRpc2ZhY3Rpb24=b7e44098.mp3]";"By adding “{{c1::conditions of satisfaction}}.”";;"Слова из интернета"
"doth";"Станет ли";;"dˈʌθ";"Nor his own vision holds what it <b>doth</b> catch…";"[sound:https://audiocdn.lingualeo.com/v2/1/ZG90aA==b3a0b981.mp3]";"Nor his own vision holds what it {{c1::doth}} catch…";;"Слова из интернета"
"Hath";"ибо";;"hˈæθ";"Of his quick objects <b>hath</b> the mind no part,";"[sound:https://audiocdn.lingualeo.com/v2/1/aGF0aA==714a4db2.mp3]";"Of his quick objects {{c1::hath}} the mind no part,";;"Слова из интернета"
"indispensable";"необходимый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/176188.png'>";"ˌɪndɪsˈpɛnsəbl";"In preparing for battle I have always found that plans are useless, but planning is <b>indispensable</b>. - Dwight D.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5kaXNwZW5zYWJsZQ==47a4e9de.mp3]";"In preparing for battle I have always found that plans are useless, but planning is {{c1::indispensable}}. - Dwight D.";;"Слова из интернета"
"useless";"бесполезный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3234571.png'>";"ˈjusləs";"remove <b>useless</b> condition";"[sound:https://audiocdn.lingualeo.com/v2/1/dXNlbGVzcw==268b263a.mp3]";"remove {{c1::useless}} condition";;"Слова из интернета"
"keep hearing";"постоянно слышать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/746966.png'>";;"Agile is supposed to be all about cowboy coding and flying by the seat of your pants, or so I <b>keep hearing</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/a2VlcCBoZWFyaW5n61a89b9f.mp3]";"Agile is supposed to be all about cowboy coding and flying by the seat of your pants, or so I {{c1::keep hearing}}.";;"Слова из интернета"
"have given";"дали";;;"People <b>have given</b> some nice examples here but you can create and use modules in the following manner as well (Mixins)";"[sound:https://audiocdn.lingualeo.com/v2/1/aGF2ZSBnaXZlbg==1cbe4d6a.mp3]";"People {{c1::have given}} some nice examples here but you can create and use modules in the following manner as well (Mixins)";;"Слова из интернета"
"on second thought";"если подумать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1415083.png'>";;"<b>On second thought</b>, not obnoxiously using the head versions of Mongoid and Paperclip seems to help: Mongoid 4.0.2, Paperclip 4.2.1, and Rails 4.2.2.beta still throws an error, but now I've got a fresh ActiveRecord-related exception.";"[sound:https://audiocdn.lingualeo.com/v2/1/b24gc2Vjb25kIHRob3VnaHQ=283a0a97.mp3]";"{{c1::On second thought}}, not obnoxiously using the head versions of Mongoid and Paperclip seems to help: Mongoid 4.0.2, Paperclip 4.2.1, and Rails 4.2.2.beta still throws an error, but now I've got a fresh ActiveRecord-related exception.";;"Слова из интернета"
"at a minimum";"как минимум";;;"This is usually created during Sprint 0 (or project start) and updated, <b>at a minimum</b>, at Release Planning.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXQgYSBtaW5pbXVta1813120.mp3]";"This is usually created during Sprint 0 (or project start) and updated, {{c1::at a minimum}}, at Release Planning.";;"Слова из интернета"
"related to that";"относящиеся к этому";;;"It is definitely <b>related to that</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVsYXRlZCB0byB0aGF053045aef.mp3]";"It is definitely {{c1::related to that}}.";;"Слова из интернета"
"yay";"ура";"<img src='https://contentcdn.lingualeo.com/uploads/picture/49489.png'>";"jˈei";"<b>Yay</b>! Done";"[sound:https://audiocdn.lingualeo.com/v2/1/eWF5aa918c12.mp3]";"{{c1::Yay}}! Done";;"Слова из интернета"
"floater";"сезонный рабочий";;"ˈfloʊtər";"Couple of guys out night surfing came across a <b>floater</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmxvYXRlcg==752a35fa.mp3]";"Couple of guys out night surfing came across a {{c1::floater}}.";;"Мой словарь"
"whizz";"проноситься со свистом";"<img src='https://contentcdn.lingualeo.com/uploads/picture/31098.png'>";"wˈɪz";"<b>Whizz</b> es es";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hpeno=79d79eee.mp3]";"{{c1::Whizz}} es es";;"Слова из интернета"
"dogsbody";"мальчик на побегушках";;"dˈɒgzbɒdi";"The <b>dogsbody</b> / the gofer – ""мальчик на побегушках"", человек, который выполняет грязную и тяжелую работу в офисе.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZG9nc2JvZHk=58982300.mp3]";"The {{c1::dogsbody}} / the gofer – ""мальчик на побегушках"", человек, который выполняет грязную и тяжелую работу в офисе.";;"Слова из интернета"
"know-it-all";"Всезнайка";;"nou w̆ɪt ˈɔːl";"The office <b>know-it-all</b> – это тот, кто знает ответы на все вопросы, любит поучать других и делать им замечания, ""всезнайка"".";"[sound:https://audiocdn.lingualeo.com/v2/1/a25vdy1pdC1hbGw=17ddf142.mp3]";"The office {{c1::know-it-all}} – это тот, кто знает ответы на все вопросы, любит поучать других и делать им замечания, ""всезнайка"".";;"Слова из интернета"
"slickest";"гладкий";;"slˈɪkɪst";"What is the <b>slickest</b>, most Ruby-like way to have a single constructor return an object of the appropriate type?";"[sound:https://audiocdn.lingualeo.com/v2/1/c2xpY2tlc3Q=ad38a3b2.mp3]";"What is the {{c1::slickest}}, most Ruby-like way to have a single constructor return an object of the appropriate type?";;"Слова из интернета"
"backstabber";"вероломный человек";;"bˈækstæbə";"Viper, subtlety.";"[sound:https://audiocdn.lingualeo.com/v2/1/YmFja3N0YWJiZXI=21d7dfa2.mp3]";"Viper, subtlety.";;"Мой словарь"
"pen-pusher";"бумагомаратель";"<img src='https://contentcdn.lingualeo.com/uploads/picture/492896.png'>";;"A pencil pusher / <b>pen-pusher</b> – конторский служащий, выполняющий рутинную работу, канцелярская крыса (с негативным оттенком), бумажный деятель";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVuLXB1c2hlcg==b8a2d26e.mp3]";"A pencil pusher / {{c1::pen-pusher}} – конторский служащий, выполняющий рутинную работу, канцелярская крыса (с негативным оттенком), бумажный деятель";;"Слова из интернета"
"jobsworth";"бюрократ";"<img src='https://contentcdn.lingualeo.com/uploads/picture/369396.png'>";;"The <b>jobsworth</b> – этим неодобрительным словом называют бюрократов, и тех людей, которые неукоснительно соблюдают правила компании, закон, и используют их, как отговорки за свою плохую работу или бездействие.";"[sound:https://audiocdn.lingualeo.com/v2/1/am9ic3dvcnRodc0f8b54.mp3]";"The {{c1::jobsworth}} – этим неодобрительным словом называют бюрократов, и тех людей, которые неукоснительно соблюдают правила компании, закон, и используют их, как отговорки за свою плохую работу или бездействие.";;"Слова из интернета"
"jack-of-all-trades";"мастер на все руки";"<img src='https://contentcdn.lingualeo.com/uploads/picture/464208.png'>";;"The <b>jack-of-all-trades</b>  – ""на все руки мастер"": работник, который разбирается во многих отраслях, умеет выполнять различные работы или тот, кто хватается за много заданий, а ничего толком не умеет.";"[sound:https://audiocdn.lingualeo.com/v2/1/amFjay1vZi1hbGwtdHJhZGVz87b3a076.mp3]";"The {{c1::jack-of-all-trades}}  – ""на все руки мастер"": работник, который разбирается во многих отраслях, умеет выполнять различные работы или тот, кто хватается за много заданий, а ничего толком не умеет.";;"Слова из интернета"
"techno-freak";"помешанный на технике";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2885693.png'>";;"Такого человека еще называют the <b>techno-freak</b> – помешанный на технологиях.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVjaG5vLWZyZWFr22f1f257.mp3]";"Такого человека еще называют the {{c1::techno-freak}} – помешанный на технологиях.";;"Слова из интернета"
"letch";"развратничатать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1110974.png'>";;"The office <b>letch</b> – развратник, ""озабоченный человек"", обычно мужчина средних лет, который отпускает неприличные шутки и пытается привлечь внимание противоположного пола.";"[sound:https://audiocdn.lingualeo.com/v2/1/bGV0Y2g=110745c1.mp3]";"The office {{c1::letch}} – развратник, ""озабоченный человек"", обычно мужчина средних лет, который отпускает неприличные шутки и пытается привлечь внимание противоположного пола.";;"Слова из интернета"
"number cruncher";"бухгалтер";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3472416.png'>";"ˈnʌmbər ˈkrʌnʧər";"A <b>number cruncher</b> – служащий, занимающийся сложными расчётами (бухгалтер, статистик ): ""молотилка чисел"".";"[sound:https://audiocdn.lingualeo.com/v2/1/bnVtYmVyIGNydW5jaGVy5184cde6.mp3]";"A {{c1::number cruncher}} – служащий, занимающийся сложными расчётами (бухгалтер, статистик ): ""молотилка чисел"".";;"Слова из интернета"
"pencil pusher";"тот, кто выполняет скучную рутинную работу";"<img src='https://contentcdn.lingualeo.com/uploads/picture/954102.png'>";;"A <b>pencil pusher</b> / pen-pusher – конторский служащий, выполняющий рутинную работу, канцелярская крыса (с негативным оттенком), бумажный деятель";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVuY2lsIHB1c2hlcg==b7de1752.mp3]";"A {{c1::pencil pusher}} / pen-pusher – конторский служащий, выполняющий рутинную работу, канцелярская крыса (с негативным оттенком), бумажный деятель";;"Слова из интернета"
"desk jockey";"конторский писака, клерк, ""деск-жокей"" (по аналогии с диск-жокеем)";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1337819.png'>";;"A <b>desk jockey</b> – конторский писака, клерк, ""деск-жокей"" (по аналогии с диск-жокеем)";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGVzayBqb2NrZXk=2f0be650.mp3]";"A {{c1::desk jockey}} – конторский писака, клерк, ""деск-жокей"" (по аналогии с диск-жокеем)";;"Слова из интернета"
"paper- shuffler";"бумага - пройдоха";;;"A <b>paper- shuffler</b> – работник, который создает видимость работы, ничего не делая, только перебирая бумаги на столе.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGFwZXItIHNodWZmbGVydf051059.mp3]";"A {{c1::paper- shuffler}} – работник, который создает видимость работы, ничего не делая, только перебирая бумаги на столе.";;"Слова из интернета"
"office bully";"человек, которому нравится унижать сотрудников";;;"The <b>office bully</b> – человек, которому нравится унижать сотрудников.";"[sound:https://audiocdn.lingualeo.com/v2/1/b2ZmaWNlIGJ1bGx540c0b9eb.mp3]";"The {{c1::office bully}} – человек, которому нравится унижать сотрудников.";;"Слова из интернета"
"office bore";"коллега, который любит шутить и рассказывать анекдоты, но никто не смеется над его шутками";;;"The <b>office bore</b> – коллега, который любит шутить и рассказывать анекдоты, но никто не смеется над его шутками.";"[sound:https://audiocdn.lingualeo.com/v2/1/b2ZmaWNlIGJvcmU=eb883173.mp3]";"The {{c1::office bore}} – коллега, который любит шутить и рассказывать анекдоты, но никто не смеется над его шутками.";;"Слова из интернета"
"clock watcher";"нерадивый работник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1559685.png'>";;"The <b>clock watcher</b> – тот, кто скорее ждёт конца рабочего дня, чем работает.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2xvY2sgd2F0Y2hlcg==d3ba78dd.mp3]";"The {{c1::clock watcher}} – тот, кто скорее ждёт конца рабочего дня, чем работает.";;"Слова из интернета"
"outcome";"результат";"<img src='https://contentcdn.lingualeo.com/uploads/picture/530011.png'>";"ˈaʊtˌkʌm";"learning <b>outcome</b>Ошибка?";"[sound:https://audiocdn.lingualeo.com/v2/1/b3V0Y29tZQ==cab2ed2f.mp3]";"learning {{c1::outcome}}Ошибка?";;"Слова из интернета"
